blind_model,prompt_category,length_condition,constraint_compliant_heuristic_counts,constraint_compliant_heuristic_top,constraint_compliant_heuristic_top_share,dominant_imagery_heuristic_counts,dominant_imagery_heuristic_top,dominant_imagery_heuristic_top_share,dominant_mood_heuristic_counts,dominant_mood_heuristic_top,dominant_mood_heuristic_top_share,dominant_plot_arc_heuristic_counts,dominant_plot_arc_heuristic_top,dominant_plot_arc_heuristic_top_share,dominant_setting_heuristic_counts,dominant_setting_heuristic_top,dominant_setting_heuristic_top_share,ending_valence_heuristic_counts,ending_valence_heuristic_top,ending_valence_heuristic_top_share,first_bigram_counts,first_bigram_top,first_bigram_top_share,first_person_pronouns_mean,first_person_pronouns_median,first_word_counts,first_word_top,first_word_top_share,formulaicness_score_heuristic_mean,formulaicness_score_heuristic_median,hybrid_entity_candidate_count_mean,hybrid_entity_candidate_count_median,invented_entity_candidate_count_mean,invented_entity_candidate_count_median,line_count_nonempty_mean,line_count_nonempty_median,n,person_heuristic_counts,person_heuristic_top,person_heuristic_top_share,poetic_mode_heuristic_counts,poetic_mode_heuristic_top,poetic_mode_heuristic_top_share,real_animal_count_mean,real_animal_count_median,refusal_like_rate,second_person_pronouns_mean,second_person_pronouns_median,sentence_count_heuristic_mean,sentence_count_heuristic_median,stanza_count_heuristic_mean,stanza_count_heuristic_median,tense_heuristic_counts,tense_heuristic_top,tense_heuristic_top_share,third_person_pronouns_mean,third_person_pronouns_median,truncated_400ish_rate,type_token_ratio_mean,type_token_ratio_median,word_count_mean,word_count_median
Model A,animal,lt10,"{""yes"": 10}",yes,1.0,"{""nature"": 10}",nature,1.0,"{""serene"": 6, ""melancholic"": 2, ""wistful"": 1, ""adventurous"": 1}",serene,0.6,"{""none_detected"": 7, ""escape"": 1, ""observation"": 1, ""loss"": 1}",none_detected,0.7,"{""natural"": 10}",natural,1.0,"{""neutral_or_unclear"": 7, ""positive"": 2, ""bittersweet"": 1}",neutral_or_unclear,0.7,"{""the glimmerfox"": 3, ""the glimberfox"": 2, ""the glimmersnout"": 1, ""the glowtail"": 1, ""the glimmershrew"": 1, ""the shimmerfox"": 1, ""meet the"": 1}",the glimmerfox,0.3,0.0,0.0,"{""the"": 9, ""meet"": 1}",the,0.9,1.9,2.0,2.0,2.0,3.8,4.0,6.2,6.0,10,"{""third"": 10}",third,1.0,"{""free_verse_or_narrative"": 9, ""rhyme_heavy"": 1}",free_verse_or_narrative,0.9,0.2,0.0,0,0.0,0.0,6.2,6.0,1.0,1.0,"{""present"": 10}",present,1.0,5.8,5.0,0,0.8385,0.8316,90.0,85.0
Model A,animal,lt5,"{""yes"": 10}",yes,1.0,"{""nature"": 7, ""light_dark"": 3}",nature,0.7,"{""serene"": 5, ""none_detected"": 2, ""melancholic"": 2, ""eerie"": 1}",serene,0.5,"{""none_detected"": 6, ""discovery"": 1, ""loss"": 1, ""survival"": 1, ""escape"": 1}",none_detected,0.6,"{""natural"": 10}",natural,1.0,"{""neutral_or_unclear"": 6, ""twist_or_turn"": 2, ""bittersweet"": 1, ""positive"": 1}",neutral_or_unclear,0.6,"{""the glimmerfox"": 7, ""the glimberfox"": 2, ""a glimmerfox"": 1}",the glimmerfox,0.7,0.0,0.0,"{""the"": 9, ""a"": 1}",the,0.9,1.8,2.0,0.9,1.0,1.9,2.0,1.0,1.0,10,"{""third"": 10}",third,1.0,"{""not_poem_like"": 10}",not_poem_like,1.0,0.0,0.0,0,0.0,0.0,3.0,3.0,1.0,1.0,"{""present"": 10}",present,1.0,3.0,3.0,0,0.852,0.8512,51.9,53.0
Model A,animal,open,"{""not_applicable"": 10}",not_applicable,1.0,"{""nature"": 7, ""light_dark"": 2, ""seasons_time"": 1}",nature,0.7,"{""serene"": 9, ""wistful"": 1}",serene,0.9,"{""none_detected"": 4, ""survival"": 3, ""reunion"": 1, ""transformation"": 1, ""discovery"": 1}",none_detected,0.4,"{""natural"": 10}",natural,1.0,"{""neutral_or_unclear"": 5, ""negative"": 3, ""positive"": 1, ""twist_or_turn"": 1}",neutral_or_unclear,0.5,"{""meet the"": 8, ""here's an"": 1, ""animal glintfox"": 1}",meet the,0.8,0.4,0.0,"{""meet"": 8, ""here's"": 1, ""animal"": 1}",meet,0.8,3.0,2.5,2.9,3.0,9.2,9.0,5.5,5.0,10,"{""third"": 10}",third,1.0,"{""free_verse_or_narrative"": 10}",free_verse_or_narrative,1.0,1.0,1.0,0,0.4,0.0,10.6,10.5,5.1,5.0,"{""present"": 10}",present,1.0,13.2,13.0,0,0.7059,0.7094,175.7,176.5
Model A,poem,lt10,"{""yes"": 10}",yes,1.0,"{""light_dark"": 5, ""nature"": 4, ""body"": 1}",light_dark,0.5,"{""serene"": 6, ""inspirational"": 2, ""melancholic"": 1, ""wistful"": 1}",serene,0.6,"{""none_detected"": 5, ""escape"": 2, ""discovery"": 2, ""reunion"": 1}",none_detected,0.5,"{""natural"": 7, ""domestic"": 3}",natural,0.7,"{""neutral_or_unclear"": 5, ""positive"": 5}",neutral_or_unclear,0.5,"{""morning spills"": 3, ""dawn spills"": 3, ""dawn folds"": 2, ""morning folds"": 1, ""morning pours"": 1}",morning spills,0.3,0.9,0.5,"{""morning"": 5, ""dawn"": 5}",morning,0.5,0.2,0.0,0.0,0.0,0.0,0.0,6.8,6.0,10,"{""first"": 4, ""none_detected"": 3, ""third"": 2, ""mixed"": 1}",first,0.4,"{""rhyme_heavy"": 10}",rhyme_heavy,1.0,0.0,0.0,0,0.1,0.0,2.9,3.0,1.2,1.0,"{""present"": 10}",present,1.0,0.4,0.0,0,0.8779,0.8823,46.8,45.5
Model A,poem,lt5,"{""yes"": 10}",yes,1.0,"{""light_dark"": 4, ""nature"": 3, ""body"": 3}",light_dark,0.4,"{""melancholic"": 4, ""serene"": 3, ""inspirational"": 2, ""eerie"": 1}",melancholic,0.4,"{""none_detected"": 9, ""reunion"": 1}",none_detected,0.9,"{""natural"": 7, ""urban"": 2, ""none_detected"": 1}",natural,0.7,"{""positive"": 5, ""neutral_or_unclear"": 4, ""bittersweet"": 1}",positive,0.5,"{""morning folds"": 2, ""morning spills"": 2, ""dawn spills"": 2, ""dawn slips"": 1, ""morning pours"": 1, ""moonlight folds"": 1, ""dawn stitches"": 1}",morning folds,0.2,0.3,0.0,"{""morning"": 5, ""dawn"": 4, ""moonlight"": 1}",morning,0.5,0.5,0.5,0.0,0.0,0.0,0.0,3.8,4.0,10,"{""none_detected"": 6, ""mixed"": 2, ""third"": 1, ""first"": 1}",none_detected,0.6,"{""rhyme_heavy"": 5, ""lyric_or_imagistic"": 3, ""free_verse_or_narrative"": 2}",rhyme_heavy,0.5,0.0,0.0,0,0.1,0.0,1.1,1.0,1.0,1.0,"{""present"": 10}",present,1.0,0.2,0.0,0,0.9253,0.9255,25.5,25.0
Model A,poem,open,"{""not_applicable"": 10}",not_applicable,1.0,"{""nature"": 6, ""light_dark"": 4}",nature,0.6,"{""serene"": 8, ""inspirational"": 2}",serene,0.8,"{""discovery"": 4, ""creation"": 2, ""none_detected"": 2, ""observation"": 1, ""reunion"": 1}",discovery,0.4,"{""natural"": 6, ""domestic"": 4}",natural,0.6,"{""positive"": 6, ""neutral_or_unclear"": 3, ""bittersweet"": 1}",positive,0.6,"{""at the"": 5, ""between the"": 2, ""a quiet"": 2, ""morning slips"": 1}",at the,0.5,0.2,0.0,"{""at"": 5, ""between"": 2, ""a"": 2, ""morning"": 1}",at,0.5,0.6,1.0,0.0,0.0,0.0,0.0,13.8,12.0,10,"{""third"": 6, ""mixed"": 2, ""second"": 1, ""none_detected"": 1}",third,0.6,"{""rhyme_heavy"": 6, ""lyric_or_imagistic"": 3, ""free_verse_or_narrative"": 1}",rhyme_heavy,0.6,0.0,0.0,0,0.7,0.0,5.6,5.5,3.4,3.0,"{""present"": 9, ""past"": 1}",present,0.9,1.9,2.0,0,0.7878,0.7925,88.7,87.5
Model A,story,lt10,"{""yes"": 10}",yes,1.0,"{""nature"": 6, ""light_dark"": 2, ""machines"": 1, ""seasons_time"": 1}",nature,0.6,"{""wistful"": 4, ""melancholic"": 3, ""adventurous"": 1, ""serene"": 1, ""eerie"": 1}",wistful,0.4,"{""discovery"": 6, ""loss"": 2, ""reunion"": 1, ""observation"": 1}",discovery,0.6,"{""natural"": 6, ""domestic"": 2, ""historical"": 1, ""urban"": 1}",natural,0.6,"{""twist_or_turn"": 4, ""positive"": 3, ""negative"": 2, ""neutral_or_unclear"": 1}",twist_or_turn,0.4,"{""at dusk"": 2, ""every night"": 1, ""the lighthouse"": 1, ""at closing"": 1, ""on the"": 1, ""at the"": 1, ""at midnight"": 1, ""every evening"": 1, ""at dawn"": 1}",at dusk,0.2,0.4,0.0,"{""at"": 6, ""every"": 2, ""the"": 1, ""on"": 1}",at,0.6,1.7,2.0,0.0,0.0,0.0,0.0,6.8,7.0,10,"{""third"": 10}",third,1.0,"{""free_verse_or_narrative"": 8, ""rhyme_heavy"": 2}",free_verse_or_narrative,0.8,0.0,0.0,0,0.3,0.0,6.7,7.0,1.0,1.0,"{""past"": 7, ""mixed"": 3}",past,0.7,8.4,8.0,0,0.735,0.7324,129.9,128.5
Model A,story,lt5,"{""yes"": 10}",yes,1.0,"{""nature"": 6, ""machines"": 2, ""light_dark"": 1, ""seasons_time"": 1}",nature,0.6,"{""wistful"": 3, ""serene"": 3, ""eerie"": 2, ""melancholic"": 1, ""adventurous"": 1}",wistful,0.3,"{""discovery"": 9, ""loss"": 1}",discovery,0.9,"{""natural"": 6, ""domestic"": 4}",natural,0.6,"{""positive"": 4, ""negative"": 2, ""neutral_or_unclear"": 2, ""bittersweet"": 1, ""twist_or_turn"": 1}",positive,0.4,"{""at midnight"": 4, ""at dusk"": 4, ""at dawn"": 1, ""mara found"": 1}",at midnight,0.4,0.0,0.0,"{""at"": 9, ""mara"": 1}",at,0.9,0.8,1.0,0.0,0.0,0.0,0.0,1.0,1.0,10,"{""third"": 10}",third,1.0,"{""not_poem_like"": 10}",not_poem_like,1.0,0.0,0.0,0,0.1,0.0,3.2,3.0,1.0,1.0,"{""past"": 10}",past,1.0,5.1,5.0,0,0.8083,0.8119,68.9,68.0
Model A,story,open,"{""not_applicable"": 10}",not_applicable,1.0,"{""nature"": 3, ""machines"": 3, ""memory"": 2, ""ocean_water"": 1, ""light_dark"": 1}",nature,0.3,"{""wistful"": 8, ""serene"": 2}",wistful,0.8,"{""observation"": 5, ""discovery"": 3, ""loss"": 2}",observation,0.5,"{""domestic"": 6, ""natural"": 4}",domestic,0.6,"{""twist_or_turn"": 6, ""bittersweet"": 2, ""neutral_or_unclear"": 1, ""negative"": 1}",twist_or_turn,0.6,"{""on the"": 5, ""at the"": 3, ""at midnight"": 1, ""mara found"": 1}",on the,0.5,1.2,0.5,"{""on"": 5, ""at"": 4, ""mara"": 1}",on,0.5,4.7,4.5,0.0,0.0,0.0,0.0,15.2,15.0,10,"{""third"": 10}",third,1.0,"{""free_verse_or_narrative"": 10}",free_verse_or_narrative,1.0,0.0,0.0,0,1.0,1.0,27.3,27.0,15.0,15.0,"{""past"": 6, ""mixed"": 4}",past,0.6,22.8,23.0,0.5,0.5987,0.597,309.6,311.0
Model B,animal,lt10,"{""yes"": 10}",yes,1.0,"{""light_dark"": 6, ""nature"": 4}",light_dark,0.6,"{""serene"": 7, ""adventurous"": 2, ""eerie"": 1}",serene,0.7,"{""creation"": 3, ""discovery"": 2, ""none_detected"": 2, ""survival"": 2, ""reunion"": 1}",creation,0.3,"{""natural"": 10}",natural,1.0,"{""neutral_or_unclear"": 8, ""twist_or_turn"": 2}",neutral_or_unclear,0.8,"{""i created"": 2, ""the moonbat"": 1, ""avelyn the"": 1, ""meet glimmerfin"": 1, ""meet zyph"": 1, ""meet nimbus"": 1, ""the glimmerfin"": 1, ""meet thunderraptor"": 1, ""the cloudtail"": 1}",i created,0.2,0.2,0.0,"{""meet"": 4, ""the"": 3, ""i"": 2, ""avelyn"": 1}",meet,0.4,1.3,1.0,2.3,2.0,4.9,5.0,2.9,1.0,10,"{""third"": 10}",third,1.0,"{""not_poem_like"": 7, ""free_verse_or_narrative"": 3}",not_poem_like,0.7,0.3,0.0,0,0.0,0.0,7.3,7.0,1.0,1.0,"{""present"": 10}",present,1.0,7.4,7.5,0,0.8119,0.8065,104.2,104.0
Model B,animal,lt5,"{""yes"": 10}",yes,1.0,"{""nature"": 6, ""light_dark"": 4}",nature,0.6,"{""serene"": 4, ""melancholic"": 3, ""eerie"": 2, ""adventurous"": 1}",serene,0.4,"{""none_detected"": 5, ""discovery"": 3, ""escape"": 2}",none_detected,0.5,"{""natural"": 9, ""historical"": 1}",natural,0.9,"{""neutral_or_unclear"": 5, ""positive"": 4, ""negative"": 1}",neutral_or_unclear,0.5,"{""the glimmerfox"": 1, ""meet nimbus"": 1, ""the emberfin"": 1, ""meet the"": 1, ""the moonwhisker"": 1, ""the night-silk"": 1, ""the sunpelt"": 1, ""the emberfox"": 1, ""meet aurorapaw"": 1, ""the nightwhisk"": 1}",the glimmerfox,0.1,0.0,0.0,"{""the"": 7, ""meet"": 3}",the,0.7,1.0,1.0,1.2,1.0,2.2,2.0,1.0,1.0,10,"{""third"": 10}",third,1.0,"{""not_poem_like"": 10}",not_poem_like,1.0,0.5,0.5,0,0.0,0.0,4.0,4.0,1.0,1.0,"{""present"": 10}",present,1.0,4.7,5.0,0,0.8558,0.8532,60.6,61.0
Model B,animal,open,"{""not_applicable"": 10}",not_applicable,1.0,"{""light_dark"": 5, ""nature"": 4, ""body"": 1}",light_dark,0.5,"{""serene"": 5, ""wistful"": 3, ""adventurous"": 2}",serene,0.5,"{""survival"": 3, ""transformation"": 2, ""loss"": 2, ""discovery"": 2, ""none_detected"": 1}",survival,0.3,"{""natural"": 9, ""none_detected"": 1}",natural,0.9,"{""twist_or_turn"": 6, ""positive"": 2, ""neutral_or_unclear"": 1, ""negative"": 1}",twist_or_turn,0.6,"{""the skywhisker"": 2, ""the glasswing"": 1, ""the skyswivel"": 1, ""here's a"": 1, ""the emberfin"": 1, ""meet umbrowl"": 1, ""name tundrabyte"": 1, ""name vellumynx"": 1, ""meet the"": 1}",the skywhisker,0.2,0.7,0.5,"{""the"": 5, ""meet"": 2, ""name"": 2, ""here's"": 1}",the,0.5,2.8,3.0,5.4,5.0,11.9,12.0,9.9,10.5,10,"{""third"": 10}",third,1.0,"{""free_verse_or_narrative"": 9, ""rhyme_heavy"": 1}",free_verse_or_narrative,0.9,1.4,1.5,0,0.6,1.0,10.4,10.0,5.6,6.0,"{""present"": 10}",present,1.0,13.6,13.5,0,0.7257,0.7243,204.9,195.0
Model B,poem,lt10,"{""yes"": 10}",yes,1.0,"{""light_dark"": 5, ""body"": 4, ""nature"": 1}",light_dark,0.5,"{""serene"": 7, ""inspirational"": 2, ""wistful"": 1}",serene,0.7,"{""escape"": 4, ""none_detected"": 4, ""reunion"": 2}",escape,0.4,"{""natural"": 5, ""none_detected"": 2, ""domestic"": 1, ""historical"": 1, ""cosmic"": 1}",natural,0.5,"{""positive"": 6, ""neutral_or_unclear"": 3, ""bittersweet"": 1}",positive,0.6,"{""beneath the"": 8, ""under moonlit"": 1, ""in a"": 1}",beneath the,0.8,2.1,2.0,"{""beneath"": 8, ""under"": 1, ""in"": 1}",beneath,0.8,0.2,0.0,0.0,0.0,0.0,0.0,6.2,6.0,10,"{""first"": 7, ""mixed"": 2, ""none_detected"": 1}",first,0.7,"{""rhyme_heavy"": 8, ""lyric_or_imagistic"": 2}",rhyme_heavy,0.8,0.0,0.0,0,0.0,0.0,2.5,2.5,1.0,1.0,"{""present"": 10}",present,1.0,0.6,0.0,0,0.8988,0.8998,39.2,38.0
Model B,poem,lt5,"{""yes"": 10}",yes,1.0,"{""light_dark"": 9, ""seasons_time"": 1}",light_dark,0.9,"{""inspirational"": 6, ""serene"": 3, ""wistful"": 1}",inspirational,0.6,"{""none_detected"": 8, ""discovery"": 1, ""escape"": 1}",none_detected,0.8,"{""natural"": 6, ""none_detected"": 3, ""domestic"": 1}",natural,0.6,"{""neutral_or_unclear"": 5, ""positive"": 4, ""negative"": 1}",neutral_or_unclear,0.5,"{""beneath the"": 6, ""in moonlit"": 2, ""in fading"": 1, ""night folds"": 1}",beneath the,0.6,2.0,1.5,"{""beneath"": 6, ""in"": 3, ""night"": 1}",beneath,0.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,10,"{""first"": 6, ""none_detected"": 2, ""mixed"": 1, ""second"": 1}",first,0.6,"{""rhyme_heavy"": 8, ""lyric_or_imagistic"": 2}",rhyme_heavy,0.8,0.0,0.0,0,0.2,0.0,1.3,1.0,1.0,1.0,"{""present"": 10}",present,1.0,0.1,0.0,0,0.9293,0.9347,25.0,25.5
Model B,poem,open,"{""not_applicable"": 10}",not_applicable,1.0,"{""light_dark"": 7, ""nature"": 2, ""body"": 1}",light_dark,0.7,"{""serene"": 9, ""inspirational"": 1}",serene,0.9,"{""discovery"": 2, ""reunion"": 2, ""creation"": 2, ""escape"": 1, ""loss"": 1, ""transformation"": 1, ""none_detected"": 1}",discovery,0.2,"{""natural"": 10}",natural,1.0,"{""positive"": 4, ""negative"": 3, ""neutral_or_unclear"": 2, ""twist_or_turn"": 1}",positive,0.4,"{""in the"": 4, ""beneath the"": 3, ""in a"": 2, ""beneath a"": 1}",in the,0.4,1.8,1.0,"{""in"": 6, ""beneath"": 4}",in,0.6,1.2,1.0,0.0,0.0,0.0,0.0,14.8,16.0,10,"{""third"": 4, ""mixed"": 4, ""first"": 2}",third,0.4,"{""rhyme_heavy"": 9, ""lyric_or_imagistic"": 1}",rhyme_heavy,0.9,0.0,0.0,0,0.6,0.5,3.9,4.0,3.7,4.0,"{""present"": 10}",present,1.0,2.1,1.5,0,0.818,0.8191,96.3,100.0
